site_id,system,channel,site_number,occupied,status,crop,variety,planted_date,planted_date_confidence,source,last_updated
C1S1,nft,C1,1,true,active,basil,Greek,2026-04-11,verified,structured_reconstructed_census,2026-06-09
C1S2,nft,C1,2,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S3,nft,C1,3,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S4,nft,C1,4,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S5,nft,C1,5,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S6,nft,C1,6,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S7,nft,C1,7,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S8,nft,C1,8,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S9,nft,C1,9,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S10,nft,C1,10,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S11,nft,C1,11,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S12,nft,C1,12,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S13,nft,C1,13,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S14,nft,C1,14,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S15,nft,C1,15,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S16,nft,C1,16,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S17,nft,C1,17,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S18,nft,C1,18,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C1S19,nft,C1,19,true,active,basil,Greek,2026-04-11,verified,structured_reconstructed_census,2026-06-09
C2S1,nft,C2,1,true,active,basil,Greek,2026-04-11,verified,structured_reconstructed_census,2026-06-09
C2S2,nft,C2,2,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S3,nft,C2,3,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S4,nft,C2,4,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S5,nft,C2,5,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S6,nft,C2,6,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S7,nft,C2,7,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S8,nft,C2,8,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S9,nft,C2,9,true,active,basil,Genovese,2026-03-29,medium,structured_reconstructed_census,2026-06-09
C2S10,nft,C2,10,true,active,basil,Genovese,2026-03-29,low,structured_reconstructed_census,2026-06-09
C2S11,nft,C2,11,true,active,basil,Genovese,2026-03-29,low,structured_reconstructed_census,2026-06-09
