date,cultivar,repo_weight_g,reviewed_total_g,productive_sites,repo_classification,repo_use,reviewed_category,strict_measured,steady_state_genovese_cohort,reviewed_g_per_site,evidence_review_note,source
2026-09-10,Opal basil,8,8,3,production_harvest,other,Intentional production,Yes,No,2.6666666666666665,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-09-10,Thai basil,27,27,1,production_harvest,other,Intentional production,Yes,No,27,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-09-10,Holy basil,39,39,3,production_harvest,other,Intentional production,Yes,No,13,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-09-07,Genovese basil,338,338,51,production_harvest,other,Intentional production,Yes,Yes,6.627450980392157,Normal production harvest from ~51 Genovese plants; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-26,Opal basil,16,16,3,production_harvest,other,Intentional production,Yes,No,5.333333333333333,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-26,Holy basil,24,24,3,production_harvest,other,Intentional production,Yes,No,8,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-23,Genovese basil,274,274,51,production_harvest,other,Intentional production,Yes,Yes,5.372549019607843,Normal production harvest from ~51 Genovese plants; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-14,Genovese basil,324,324,51,production_harvest,other,Intentional production,Yes,Yes,6.352941176470588,Normal production harvest from ~51 Genovese plants; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-08,Mixed basil,48,48,59,maintenance_trim,other,Maintenance / trim,No,No,0.8135593220338984,Explicit maintenance trim in repo.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-08-04,Genovese basil,309,309,51,production_harvest,other,Intentional production,Yes,Yes,6.0588235294117645,Normal production harvest from ~51 Genovese plants; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-24,Thai basil,16,16,1,production_harvest,other,Intentional production,Yes,No,16,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-24,Opal basil,10,10,3,production_harvest,other,Intentional production,Yes,No,3.3333333333333335,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-24,Holy basil,48,48,3,production_harvest,other,Intentional production,Yes,No,16,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-22,Greek basil,28,28,3,production_harvest,other,Intentional production,Yes,No,9.333333333333334,Intentional cultivar harvest; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-22,Genovese basil,436,436,51,production_harvest,other,Intentional production,Yes,Yes,8.549019607843137,Normal production harvest from ~51 Genovese plants; operator confirmed.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-11,Genovese basil,460,460,51,production_harvest,production,Intentional production,Yes,Yes,9.019607843137255,Explicit full production harvest.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-07-01,Basil,52,52,5,maintenance_trim,n/a,Maintenance / trim,No,No,10.4,Oddball selective maintenance trim.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-30,Mixed Genovese + Lemon basil,340,340,52,production_harvest,production,Intentional production,Yes,No,6.538461538461538,"Production harvest, mixed cultivar; not used in steady-state Genovese cohort.",garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-24,Holy basil,10,10,,maintenance_trim,tea,Maintenance / trim,No,No,,Explicit maintenance trim.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-22,Mixed basil,241,241,41,production_harvest,n/a,Intentional production,Yes,No,5.878048780487805,Cut-and-come-again height-control harvest; mixed crop.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-16,Genovese basil,257,257,38,production_harvest,pesto,Intentional production,Yes,No,6.7631578947368425,Early cut-and-come-again production harvest.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-12,Genovese basil,109,109,39,production_harvest,pesto,Intentional production,Yes,No,2.7948717948717947,Early full cut; before mature steady-state cohort.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-06-07,Genovese basil,38,42,39,production_harvest,pesto,Intentional production,No,No,1.0769230769230769,38 g measured after neighbor sample; contemporaneous seed log says estimated total 40-45 g and 'Log yield as 42 g'. Reviewed total = 42 g; strict measured mass remains 38 g.,garage-vision final_2026-09.md + operator clarification 2026-09-17
2026-05-20,Genovese basil,20,20,,unknown,fresh use,Estimated early prune,No,No,,Unweighed first prune estimated at ~20-30 g. Repo stores 20 g; not treated as measured yield.,garage-vision final_2026-09.md + operator clarification 2026-09-17
